id,places,img_url,link
1,"Sidhhivinayak Temple",images/st.jpg,https://www.makemytrip.com/bus-tickets/
2,"Carter Road",images/cr.cms,https://www.makemytrip.com/bus-tickets/
3,"Film City Mumbai",images/Fc.jpeg,https://www.makemytrip.com/bus-tickets/
4,"Gateway of India",images/gatewayOfIndia.jpg,https://www.makemytrip.com/bus-tickets/
5,"Marine Lines ",images/ml.jpg,https://www.makemytrip.com/bus-tickets/
6,"Nehru Planetarium",images/np.jpg,https://www.makemytrip.com/bus-tickets/
7,"Haji Ali Daragh",images/ha.jpg,https://www.makemytrip.com/bus-tickets/
8,"Kanheri Caves",images/kc.webp,https://www.makemytrip.com/bus-tickets/
9,"Hanging Garden",images/hg.jpg,https://www.makemytrip.com/bus-tickets/
10,"Sanjay Gandhi National Park",images/sgnp.jpg,https://www.makemytrip.com/bus-tickets/
11,"CSM Vastu Sanghralya",images/csmv.webp,https://www.makemytrip.com/bus-tickets/
12,"Juhu Beach",images/juhu_beach.jpg,https://www.makemytrip.com/bus-tickets/
