id,places,img_url,link
1,"Marine Lines ",images/ml.jpg,https://www.makemytrip.com/cabs/
2,"Gateway of India",images/gatewayOfIndia.jpg,https://www.makemytrip.com/cabs/
3,"CSM Vastu Sanghralya",images/csmv.webp,https://www.makemytrip.com/cabs/
4,"Film City Mumbai",images/Fc.jpeg,https://www.makemytrip.com/cabs/
5,"Kanheri Caves",images/kc.webp,https://www.makemytrip.com/cabs/
6,"Juhu Beach",images/juhu_beach.jpg,https://www.makemytrip.com/cabs/
7,"Sanjay Gandhi National Park",images/sgnp.jpg,https://www.makemytrip.com/cabs/
8,"Haji Ali Daragh",images/ha.jpg,https://www.makemytrip.com/cabs/
9,"Nehru Planetarium",images/np.jpg,https://www.makemytrip.com/cabs/
10,"Carter Road",images/cr.cms,https://www.makemytrip.com/cabs/
11,"Sidhhivinayak Temple",images/st.jpg,https://www.makemytrip.com/cabs/
12,"Hanging Garden",images/hg.jpg,https://www.makemytrip.com/cabs/
