id,places,img_url,link
1,"Hanging Garden",images/hg.jpg,https://www.makemytrip.com/railways/
2,"Gateway of India",images/gatewayOfIndia.jpg,https://www.makemytrip.com/railways/
3,"Sanjay Gandhi National Park",images/sgnp.jpg,https://www.makemytrip.com/railways/
4,"Sidhhivinayak Temple",images/st.jpg,https://www.makemytrip.com/railways/
5,"Haji Ali Daragh",images/ha.jpg,https://www.makemytrip.com/railways/
6,"CSM Vastu Sanghralya",images/csmv.webp,https://www.makemytrip.com/railways/
7,"Marine Lines ",images/ml.jpg,https://www.makemytrip.com/railways/
8,"Kanheri Caves",images/kc.webp,https://www.makemytrip.com/railways/
9,"Juhu Beach",images/juhu_beach.jpg,https://www.makemytrip.com/railways/
10,"Nehru Planetarium",images/np.jpg,https://www.makemytrip.com/railways/
11,"Film City Mumbai",images/Fc.jpeg,https://www.makemytrip.com/railways/
12,"Carter Road",images/cr.cms,https://www.makemytrip.com/railways/
