id,places,img_url,link
1,"Hanging Garden",images/hg.jpg,https://www.makemytrip.com/hotels/mumbai-hotels-near-hanging_gardens.html
2,"Gateway of India",images/gatewayOfIndia.jpg,https://www.makemytrip.com/hotels/mumbai-hotels-near-gateway_of_india_mumbai.html
3,"Sanjay Gandhi National Park",images/SGNP.jpg,https://www.makemytrip.com/hotels/mumbai-hotels-near-sanjay_gandhi_national_park_mumbai.html
4,"Sidhhivinayak Temple",images/st.jpg,https://www.makemytrip.com/hotels/mumbai-hotels-near-shri_siddhi_vinayak_ganapati_mandir.html
5,"Haji Ali Daragh",images/ha.jpg,https://www.makemytrip.com/hotels/mumbai-hotels-near-haji_ali_dargah.html
6,"CSM Vastu Sanghralya",images/csmv.webp,https://www.makemytrip.com/hotels/mumbai-hotels-near-chhatrapati_shivaji_maharaj_vastu_sangrahalaya.html
7,"Marine Lines ",images/ml.jpg,https://www.makemytrip.com/hotels/hotels-in-marine_lines-mumbai.html
8,"Kanheri Caves",images/kc.webp,https://www.makemytrip.com/hotels/mumbai-hotels-near-kanheri_caves.html
9,"Juhu Beach",images/juhu_beach.jpg,https://www.makemytrip.com/hotels/mumbai-hotels-near-juhu_beach.html
10,"Nehru Planetarium",images/np.jpg,https://www.makemytrip.com/hotels/mumbai-hotels-near-nehru_planetarium.html
11,"Film City Mumbai",images/Fc.jpeg,https://www.makemytrip.com/hotels/hotels-nearby-collection_o_goregaon_near_film_city-mumbai.html
12,"Carter Road",images/cr.cms,https://www.makemytrip.com/hotels/hotels-nearby-independent_studio_apt_carter_road_bandra_mumbai-mumbai.html
